행정기관,계,1인,2인,3인,4인,5인,6인,7인,8인,9인,10인이상,데이터기준일
조치원읍,20607 ,10104 ,4790 ,2785 ,2115 ,657 ,111 ,33 ,5 ,4 ,3 ,2025-05-27
연기면,1380 ,801 ,349 ,141 ,59 ,19 ,9 ,2 ,0 ,0 ,0 ,2025-05-27
연동면,1571 ,859 ,455 ,171 ,55 ,24 ,4 ,2 ,0 ,0 ,1 ,2025-05-27
부강면,3023 ,1623 ,872 ,311 ,145 ,54 ,15 ,3 ,0 ,0 ,0 ,2025-05-27
금남면,4612 ,2463 ,1326 ,500 ,214 ,76 ,25 ,7 ,0 ,1 ,0 ,2025-05-27
장군면,4079 ,2573 ,940 ,323 ,154 ,66 ,15 ,7 ,1 ,0 ,0 ,2025-05-27
연서면,3637 ,1889 ,1038 ,397 ,195 ,84 ,25 ,7 ,1 ,0 ,1 ,2025-05-27
전의면,2819 ,1525 ,779 ,289 ,156 ,48 ,18 ,3 ,0 ,1 ,0 ,2025-05-27
전동면,1793 ,1042 ,489 ,149 ,76 ,27 ,7 ,2 ,1 ,0 ,0 ,2025-05-27
소정면,1070 ,524 ,310 ,126 ,79 ,25 ,4 ,1 ,1 ,0 ,0 ,2025-05-27
한솔동,6300 ,1187 ,1468 ,1532 ,1605 ,424 ,59 ,20 ,3 ,2 ,0 ,2025-05-27
새롬동,9631 ,2180 ,2028 ,2334 ,2499 ,493 ,76 ,16 ,5 ,0 ,0 ,2025-05-27
나성동,5847 ,2779 ,769 ,908 ,1044 ,310 ,31 ,5 ,1 ,0 ,0 ,2025-05-27
도담동,10178 ,3408 ,2236 ,2035 ,2010 ,416 ,61 ,10 ,0 ,2 ,0 ,2025-05-27
어진동,5251 ,2654 ,713 ,805 ,845 ,197 ,30 ,7 ,0 ,0 ,0 ,2025-05-27
해밀동,8590 ,2300 ,1665 ,1950 ,1974 ,590 ,93 ,14 ,3 ,1 ,0 ,2025-05-27
아름동,7937 ,1341 ,1645 ,2091 ,2331 ,444 ,71 ,7 ,6 ,1 ,0 ,2025-05-27
종촌동,10726 ,2965 ,2429 ,2355 ,2388 ,512 ,58 ,12 ,5 ,2 ,0 ,2025-05-27
고운동,12773 ,2509 ,3098 ,3099 ,3194 ,722 ,120 ,22 ,4 ,3 ,2 ,2025-05-27
소담동,8456 ,2296 ,1987 ,1901 ,1845 ,370 ,43 ,12 ,1 ,1 ,0 ,2025-05-27
반곡동,12103 ,4269 ,2569 ,2567 ,2156 ,462 ,62 ,13 ,4 ,0 ,1 ,2025-05-27
보람동,6917 ,1540 ,1570 ,1698 ,1685 ,358 ,51 ,13 ,1 ,0 ,1 ,2025-05-27
대평동,4387 ,1115 ,1185 ,974 ,875 ,204 ,29 ,4 ,0 ,1 ,0 ,2025-05-27
다정동,10758 ,2726 ,2459 ,2530 ,2459 ,514 ,53 ,10 ,4 ,2 ,1 ,2025-05-27
